Data,Projeto,Equipe,Equipamento,Horas Totais,Horas Trabalhadas,Horas Paradas,Parada DH_GEL,Parada Parc das artes,Parada Chuva,Parada Mecânica,Outros Motivos,Motivo / Justificativa,Responsável,Nº RDO,Centro de Custo,Observações
25/2/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:30,03:50,06:40,,,,06:40,06:40,Manutenção e ajustes das bombas duplex e centrifuga,LEANDRO/JOSE PINHEIRO,15,88007,"REABERTURA ATÉ 7,29M"
26/2/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,10:00,00:00,,,,,00:00,,LEANDRO/JOSE PINHEIRO,16,88007,
27/2/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,08:00,07:30,00:30,,00:30,,,00:30,Aguardando o Geólogo da Saerp,CARLOS/JOSE PINHEIRO/LEANDRO,17,88007,
28/2/2026,88007 PP25067 - PARC DAS ARTES,,,,,,,,,,,Não teve atividade - Aguardando cura de cimentação,,18,88007,
01/03/2026,88007 PP25067 - PARC DAS ARTES,,TORNEP,,,,,,,,00:00,Sem atividade - aguardando cura da cimentação,,19,88007,
02/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,08:00,02:00,02:00,,,,02:00,Reunião de equipe - planejamento / deslocamento,CARLOS/JOSE PINHEIRO/LEANDRO,20,88007,Revezamento de equipe- sem paralização para almoço
03/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,11:40,00:20,,,,00:20,00:20,ajuste de aperto do swivel,CARLOS/JOSE PINHEIRO/LEANDRO,21,88007,Revezamento de equipe- sem paralização para almoço
04/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,06:45,05:15,,,,05:15,05:15,"Troca do parafuso gaxeta/solda no vazamento da conexão kelly, separando kelly p/manutenção.",CARLOS/JOSE PINHEIRO/LEANDRO,22,88007,Revezamento de equipe- sem paralização para almoço
05/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,07:50,02:10,,,,02:10,02:10,Troca do parafuso gaxeta/reforço da solda do kelly,CARLOS/JOSE PINHEIRO/LEANDRO,23,88007,"Martelo apresentou problema, foi para manutenção"
06/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:30,00:00,10:30,08:30,,,02:00,10:30,DTS/ administrativo/ manutenção das mangueiras,CARLOS/JOSE PINHEIRO/LEANDRO,24,88007,
07/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,12:00,00:00,,,,,00:00,,,25,88007,
08/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,12:00,00:00,,,,,00:00,,JOSE PINHEIRO,26,88007,"Perfurou até 52,0 M"
09/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,10:10,00:50,00:50,,,,00:50,Aguardando liberação de perfuração,,27,88007,"perfurou até 63,0 M"
10/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,10:00,00:00,,,,,00:00,,,28,88007,"Perfurou até 68,0 M - Atingiu Arenito"
11/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,29,88007,
12/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,30,88007,
13/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,31,88007,
14/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,32,88007,
15/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,33,88007,
16/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,34,88007,
17/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,35,88007,
18/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,,24:00:00,,24:00:00,,,24:00:00,Aguardando Material - tubos,,36,88007,
19/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,08:00,03:00,03:00,,,,03:00,Reunião com Equipe - e Aguardando revestimento,,37,88007,
20/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,,10:00,,,,10:00,10:00,"verificação do fluido, mau funcionamento na sonda/ deslocamento para buscar compressor",,38,88007,
21/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,,,39,88007,"Perfurou até 92,0 M"
22/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,,,40,88007,"Perfurou até 94,0 M"
23/03/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:05,12:05,00:00,,,,,00:00,,,41,88007,"Perfurou até 126,0 M - Revezamento-s/ paralização p/ almoço"
24/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:30:00,17:00,07:30,,,,07:30,07:30,Transporte do pino da catarina para a tornearia,,42,88007,"Perfurou até 142,88 M - Revezamento de equipe- sem paralização para almoço"
25/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,,,43,88007,"Perfurou até 206,0 M"
26/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:00,23:00,00:00,,,,,00:00,,,44,88007,
27/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,,,45,88007,"Perfurou até 288,90 M"
28/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:00,18:00,05:00,,,,05:00,05:00,Deslocamento para buscar fole de embreagem,,46,88007,
29/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:00,08:10,13:50,11:30,,,02:20,13:50,Aguardando broca/defeito no fole/arrumando as mangueiras.,,47,88007,
30/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,17:00,07:00,04:30,,,02:30,07:00,Arrumando ar do fole/ aguardando Torrista,,48,88007,"Perfurou até 289,20 M"
31/03/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,16:35,07:25,,,01:55,05:30,07:25,Reparo no fole da engrenagem - paralização por motivos climaticos.,,49,88007,
01/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:00,10:00,13:00,11:00,,02:00,,13:00,Paralização devido a motivos climaticos (chuva forte)/falta de equipe,,50,88007,Perfurou até 310M
02/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:20,08:00,14:20,14:20,,,,14:20,Deslocamento/falta de equipe,,51,88007,
03/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,,11:00,11:00,,,,11:00,Sem atividade - falta de equipe,,52,88007,
04/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,,11:00,11:00,,,,11:00,Sem atividade - falta de equipe,,53,88007,
05/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,,11:00,11:00,,,,11:00,Sem atividade - falta de equipe,,54,88007,
