CONTROLE DE PERFURAÇÃO															
															
Data	Ferramenta	De:	Até:	Quantidade Metros	Tipo	De	Até	Quantidade M Reaberto	Horário Inicio	Horário Término	Tempo Perfuração	Tempo Reabertura	Diesel S10	Diesel S500	Observação Reabertura
	"Ø 17 1/2"" - martelo"			0	Reabertura	293.4	310	16.6				06:40:00 AM			
	"Ø 17 1/2"" - martelo"	310	325.54	15.54	Perfuração			0	25:40:00	31:30:00	05:50:00 AM				
04/10/2026	"Ø 17 1/2"" - martelo"	325.54	332.43	6.88999999999999	Perfuração			0	07:00:00 AM	09:25:00 AM	02:25:00 AM				
04/11/2026	"Ø 17 1/2"" - martelo"	332.43	352.89	20.46	Perfuração			0	09:55:00 PM	31:00:00	09:05:00 AM				
	"Ø 17 1/2"" - martelo"	352.89	355.44	2.55000000000001	Perfuração			0		12:00:00 AM	01:00:00 AM				
04/13/2026	"Ø 22"" - Underreamer"			0	Reabertura	180	185.65	5.65000000000001				03:55:00 AM			
04/14/2026	"Ø 22"" - Underreamer"			0	Reabertura	185.65	206	20.35				02:00:00 AM			
	"Ø 22"" -  Martelo"			0	Reabertura	206	218	12				02:20:00 AM			
	"Ø 22"" - Underreamer"			0	Reabertura	218	221	3				01:00:00 AM			
	"Ø 22"" - Underreamer"			0	Reabertura	221	234.5	13.5				04:40:00 AM			
	"Ø 22"" - Underreamer"			0	Reabertura	234.5	251	16.5				05:00:00 AM			
04/16/2026	"Ø 22"" - Underreamer"			0	Reabertura	253.54	260.42	6.88000000000002				02:12:00 AM			
	"Ø 22"" - Underreamer"			0	Reabertura	260.42	287.8	27.38				09:30:00 AM			
04/17/2026	"Ø 22"" - Underreamer"			0	Reabertura	287.8	289.5	1.69999999999999				09:50:00 AM			
04/18/2026	"Ø 22"" - Underreamer"			0	Reabertura	299	321.47	22.47				08:00:00 AM			
04/19/2026	"Ø 22"" - Underreamer"			0	Reabertura	321.47	345	23.53				12:00:00 PM			
	"Ø 22"" - Underreamer"			0	Reabertura	345	355.44	10.44				06:55:00 AM			
															
				355.44				210.41			128:09:00	101:33:00			
04/19/2026															
02/23/2026															
55															
															
															
															
															
                      RESUMO DOS DADOS DE PERFURAÇÃO															
Perfuração	Dados														
Metros Perfuração	355.44														
Min/Metro	21:37.9405807														
Tempo Perfuração	128:09:00														
Dias	10:40:45 AM														
															
Reabertura															
Metros Reabertura	210.41														
Tempo Reabertura	101:33:00														
Min/Metro	28:57.4649494														
Dias	08:27:45 AM														
															
Finalização Total															
Tempo total de execução	229:42:00														
Dias	07:08:30 PM														
