"dia","horas","justificativa"
"01/05/2026",2.5,"Aguardando jateador"
"11/05/2026",6.42,"Aguardando retirada da bomba e sonda"
"12/02/2026",5,"Aguardando chegada do concreto"
"13/05/2026",5,"4hs aguardando retro da saerp/5hs aguardando bomba"
"19/03/2026",3,"Reunịo com Equipe - e Aguardando revestimento"
"23/04/2026",8.17,"Aguardando Oxigenio acetileno/ aguardando material"
"29/03/2026",11.5,"Aguardando broca/defeito no fole/arrumando as mangueiras."
