"dia","horas","justificativa"
"02/03/2026",2,"Reunịo de equipe - planejamento / deslocamento"
"09/03/2026",0.83,"Aguardando libera̤̣o de perfura̤̣o"
"10/02/2026",8,"Agardando caminḥo para nivelar terreno/"
"16/2/2026",0.83,"Deslocamento"
"17/2/2026",1.67,"Deslocamento / manuten̤̣o do equipamento"
"20/04/2026",3.17,"testando e verificando catarina/ DTM carregamento de munck"
"21/04/2026",2.25,"descarregando ferramenta"
"28/04/2026",2.5,"Descarregando caminḥo"
"28/05/2026",2,"Deslocamento"
"29/05/2026",3,"Deslocamento/ a servi̤o do projeto"
