"dia","horas","justificativa","cats"
"09/02/2026",2,"Aguardando caminḥo para nivelar terreno","1+4"
"11/02/2026",4,"Aguardando equipamento para nivelar terreno/ aguardando concreto.","1+4"
"07/04/2026",4.67,"Deslocamento de R.Bonito P/ R.Preto/ Aguardando bomba de pisṭo/aguardando munck1/Motivos climaticos (chuva)","1+4 (parte DH_GEL)"
