"dia","horas","justificativa"
"01/04/2026",2,"Paraliza̤̣o devido a motivos climaticos (chuva forte)/falta de equipe"
"07/04/2026",1.5,"Deslocamento de R.Bonito P/ R.Preto/ Aguardando bomba de pisṭo/aguardando munck1/Motivos climaticos (chuva)"
"15/05/2026",1.5,"DTM/ Paraliza̤̣o por chuva"
"22/2/2026",0.97,"Parada por motivos climaticos (chuva)"
"31/03/2026",1.92,"Reparo no fole da engrenagem - paraliza̤̣o por motivos climaticos."
