CONTROLE DE PERFURAÇÃO																		
																		
Data	Ferramenta	De:	Até:	Quantidade Metros	Viscosidade	PH	Tipo	De	Até	Quantidade M Reaberto	Horário Inicio	Horário Término	Tempo Perfuração	Tempo Reabertura	Tempo de Repasse 	Diesel S10	Diesel S500	Observação 
		484	484.6	0.600000000000023			Perfuração			0	06:40:00 AM	08:10:00 AM	01:30:00 AM					
		484.6	486	1.39999999999998			Perfuração			0	12:40:00 PM	05:20:00 PM	04:40:00 AM					
		486	490.4	4.39999999999998			Perfuração			0	05:20:00 PM	29:10:00	11:50:00 AM					
06/24/2026		490.4	491.83	1.43000000000001			Perfuração			0	01:50:00 PM	06:20:00 PM	04:30:00 AM					
		491.83	494	2.17000000000002			Perfuração			0	07:00:00 PM	25:00:00	06:00:00 AM					
06/25/2026		494	500	6	50	9	Perfuração			0	01:00:00 AM	04:45:00 PM	03:45:00 PM					
		500	501.7	1.69999999999999			Perfuração			0	07:00:00 PM	09:30:00 PM	02:30:00 AM					
		501.7	506.3	4.60000000000002			Perfuração			0	10:00:00 PM	33:10:00	11:10:00 AM				267	
06/26/2026		506.3	507	0.699999999999989			Perfuração			0	03:50:00 PM	05:45:00 PM	01:55:00 AM					
		507	509	2			Perfuração			0	05:45:00 PM	24:00:00	06:15:00 AM					
		509	511	2			Perfuração			0	24:00:00	30:30:00	06:30:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
				0						0			12:00:00 AM					
																		
				511.3						0			619:55:00	12:00:00 AM	72:50:00			
																		
																		
																		
																		
																		
																		
																		
																		
                      RESUMO DOS DADOS DE PERFURAÇÃO																		
Perfuração	Dados					Perfuração Rotopneumatico			Dados		Perfuração solo sedimentos 		Dados		Tempo Total Perfuração S			
Metros Perfuração	511.3					Metros Perfuração Rotopneumatico		11.5	150		Metros Solo sed.		11.5		Dias Solo sed.			
Min/Metro	01:12:44.756503					Min/Metro Rotopneumatico					min/Metro Solo Sed.							
Tempo Perfuração	619:55:00					Tempo Efeitvo Perfuração Rotopneumatico												
Dias	25:49:47.50					Dias Rotopneumatico												
																		
Reabertura																		
Metros Reabertura	0					Tempo Total Perfuração Rotopneumatico												
Tempo Reabertura	12:00:00 AM					Dias Total Rotopneumatico												
Min/Metro	#DIV/0!																	
Dias	12:00:00 AM																	
																		
Repasse																		
Tempo Repasse	72:50:00																	
Dias	03:02:05 AM																	
																		
																		
Finalização Total																		
Tempo total de execução	692:45:00																	
Dias	28:51:52.50																	
																		
																		
																		
																		
																		
																		
																		
O TEMPO DE REPASSE ENTRA COMO DOWTIME, HORAS QUE PODE SER EVITADAS, ENTRA NO AUMENTO DO CUSTO,UMA DAS CAUSAS DO REPASSE FOI O MARTELO QUE ESTÁ COM A BROCA MAIOR QUE O IDEAL PARA SE TRABALHAR 																		
(INFORMAÇÕES PARA SER LANÇADA COMO APRENDIZADO PARA OS PROXIMOS PROJETOS)																		
